Date,Month,Store,Money Spent
9/22/2024,9,Walmart,64.86
7/21/2024,7,Walmart,65.82
12/26/2024,12,Publix,65.89
7/3/2023,7,Coop,66.98
9/13/2025,9,H Mart,68.25
6/26/2022,6,Publix,69.33
6/3/2023,6,Coop,69.71
11/15/2022,11,H Mart,70.19
7/19/2025,7,E-mart,71.96
12/15/2024,12,Walmart,72.48
12/7/2024,12,Walmart,73.38
2/19/2023,2,Publix,73.81
8/11/2023,8,Walmart,76.2
10/23/2022,10,Publix,76.96
1/18/2024,1,Coop,78.1
5/21/2023,5,Coop,78.16
5/21/2023,5,Coop,78.16
5/7/2023,5,Coop,79.04
3/28/2023,3,H Mart,79.43
8/17/2025,8,Publix,79.9
1/27/2023,1,Publix,80.07
2/7/2025,2,Walmart,80.17
8/13/2023,8,Coop,82.24
6/16/2024,6,Publix,82.86
12/5/2023,12,Walmart,82.92
11/19/2024,11,Walmart,82.95
3/9/2025,3,Walmart,84.69
7/10/2022,7,Publix,84.99
1/7/2023,1,Publix,84.99
2/20/2024,2,Walmart,86.02
10/6/2024,10,Walmart,96
12/29/2022,12,Publix,96.17
11/14/2023,11,Walmart,97.9
7/25/2025,7,Walmart,98.82
11/30/2023,11,Walmart,102.62
1/5/2025,1,Walmart,104.33
11/11/2022,11,Publix,107.37
1/15/2023,1,Publix,114.62
12/4/2022,12,Publix,116.54
2/8/2023,2,Publix,119.92
6/10/2022,6,Publix,120.58
11/27/2022,11,Walmart,121.09
7/2/2024,7,Walmart,127.63
